Wavelength (nm),Energy (eV),e1,e2,n,k
951.428345,1.303304,13.347067,0,3.653364,0
952.991577,1.301166,13.340431,0,3.652456,0
954.55481,1.299035,13.33384,0,3.651553,0
956.117798,1.296911,13.327293,0,3.650657,0
957.680664,1.294795,13.320791,0,3.649766,0
959.243347,1.292686,13.314332,0,3.648881,0
960.805969,1.290583,13.307916,0,3.648002,0
962.368286,1.288488,13.301543,0,3.647128,0
963.930542,1.2864,13.295212,0,3.64626,0
965.492554,1.284319,13.288923,0,3.645398,0
967.054504,1.282244,13.282677,0,3.644541,0
968.616211,1.280177,13.27647,0,3.643689,0
970.177856,1.278116,13.270305,0,3.642843,0
971.739258,1.276062,13.26418,0,3.642002,0
973.300476,1.274016,13.258095,0,3.641167,0
974.861633,1.271975,13.252049,0,3.640337,0
976.422546,1.269942,13.246043,0,3.639511,0
977.983398,1.267915,13.240075,0,3.638691,0
979.544067,1.265895,13.234146,0,3.637877,0
