Wavelength (nm),Energy (eV),e1,e2,n,k
808.568726,1.533574,15.907685,0,3.988444,0
810.144531,1.530591,15.893314,0,3.986642,0
811.720154,1.52762,15.879094,0,3.984858,0
813.295654,1.524661,15.865022,0,3.983092,0
814.871033,1.521713,15.851093,0,3.981343,0
816.44635,1.518777,15.837308,0,3.979611,0
818.021484,1.515853,15.823662,0,3.977897,0
819.596497,1.51294,15.810152,0,3.976198,0
821.171509,1.510038,15.796777,0,3.974516,0
822.746216,1.507148,15.783534,0,3.97285,0
824.320923,1.504269,15.77042,0,3.971199,0
825.895508,1.501401,15.757434,0,3.969563,0
827.46991,1.498544,15.744573,0,3.967943,0
829.04425,1.495698,15.731834,0,3.966338,0
830.618347,1.492864,15.719218,0,3.964747,0
832.192505,1.49004,15.70672,0,3.963171,0
833.766418,1.487227,15.69434,0,3.961608,0
835.340149,1.484425,15.682075,0,3.96006,0
836.913879,1.481634,15.669922,0,3.958525,0
838.487427,1.478853,15.657882,0,3.957004,0
840.060852,1.476084,15.645951,0,3.955496,0
841.634155,1.473324,15.63413,0,3.954002,0
843.207336,1.470575,15.622414,0,3.95252,0
844.780396,1.467837,15.610804,0,3.951051,0
846.353333,1.465109,15.599297,0,3.949594,0
847.926147,1.462391,15.587891,0,3.94815,0
849.49884,1.459684,15.576587,0,3.946718,0
851.071411,1.456987,15.565381,0,3.945298,0
852.643738,1.4543,15.554273,0,3.943891,0
854.216003,1.451623,15.543262,0,3.942494,0
855.788208,1.448957,15.532345,0,3.94111,0
857.360229,1.4463,15.521521,0,3.939736,0
858.932129,1.443653,15.51079,0,3.938374,0
860.503906,1.441016,15.50015,0,3.937023,0
862.0755,1.438389,15.4896,0,3.935683,0
863.646973,1.435772,15.479138,0,3.934354,0
865.218384,1.433164,15.468764,0,3.933035,0
866.789673,1.430566,15.458476,0,3.931727,0
868.360718,1.427978,15.448273,0,3.930429,0
869.931763,1.425399,15.438154,0,3.929142,0
871.502563,1.42283,15.428118,0,3.927864,0
873.073242,1.42027,15.418164,0,3.926597,0
874.64386,1.41772,15.40829,0,3.925339,0
876.214233,1.415179,15.398497,0,3.924092,0
877.784546,1.412647,15.388782,0,3.922854,0
879.354675,1.410125,15.379145,0,3.921625,0
880.924683,1.407612,15.369585,0,3.920406,0
882.494629,1.405108,15.3601,0,3.919196,0
884.064331,1.402613,15.350691,0,3.917996,0
885.633972,1.400127,15.341355,0,3.916804,0
887.20343,1.39765,15.332093,0,3.915622,0
888.772766,1.395182,15.322904,0,3.914448,0
890.34198,1.392723,15.313785,0,3.913283,0
